fds_id,site_id,state,district,fds_name,fds_latitude,fds_longitude,nearest_nadi_id,nearest_nadi_name,nadi_latitude,nadi_longitude,distance_km,distance_band,nadi_operation_status,coordinate_basis,nearest_open_nadi_name,nearest_open_nadi_km
F090,S076,SARAWAK,MIRI,LONG KAWI,3.46042,114.7445,Q19,Long Bedian,3.793308,114.730756,37.046924048569764,red,OPEN,listed coordinates,Long Bedian,37.046924048569764
F091,S077,SARAWAK,MIRI,MANDAMOT,3.77819,115.29253,Q21,Bario,3.73976,115.46488,19.594872210541677,red,OPEN,listed coordinates,Bario,19.594872210541677
F092,S078,SARAWAK,MIRI,LONG SERIDAN,3.9776,115.06846,Q19,Long Bedian,3.793308,114.730756,42.70294045502963,red,OPEN,listed coordinates,Long Bedian,42.70294045502963
F093,S079,SARAWAK,MIRI,BA LAI,3.32322,115.33517,Q25,Long Banga (Long Beruang),3.203576,115.393507,14.796413632339133,red,UNDER RELOCATION,listed coordinates,Bario,48.50278115190442
F094,S080,SARAWAK,MIRI,LONG BANGA,3.20344,115.40151,Q25,Long Banga (Long Beruang),3.203576,115.393507,0.8886324815568323,green,UNDER RELOCATION,listed coordinates,Bario,60.0494877537136
F095,S081,SARAWAK,MIRI,APAU NYARING,3.06238,114.51657,Q31,Sungai Asap,3.054613,113.928508,65.30218190720201,red,OPEN,listed coordinates,Sungai Asap,65.30218190720201
F096,S082,SARAWAK,MIRI,LONG DANO,3.59398,115.52839,Q21,Bario,3.73976,115.46488,17.675764421159325,red,OPEN,listed coordinates,Bario,17.675764421159325
F097,S083,SARAWAK,TELANG USAN,DATA BILA (PENAN),3.323525,115.084994,Q25,Long Banga (Long Beruang),3.203576,115.393507,36.7549058727229,red,UNDER RELOCATION,listed coordinates,Bario,62.60755277751546
F098,S084,SARAWAK,LIMBANG,PA' BERUNUT,4.201865,115.455342,Q16,Ba’kelalan,3.9856,115.6233,30.41885025734051,red,OPEN,listed coordinates,Ba’kelalan,30.41885025734051
F099,S085,SARAWAK,LIMBANG,SG. ADANG,4.075249,115.31791,Q16,Ba’kelalan,3.9856,115.6233,35.31022136353593,red,OPEN,listed coordinates,Ba’kelalan,35.31022136353593
F100,S086,SABAH,KOTA MARUDU,SONSONGAN MAKATOL,6.4209,116.7727,S13,Kampung Ranau,6.50598,116.7476,9.858581063742784,yellow,OPEN,listed coordinates,Kampung Ranau,9.858581063742784
F101,S087,SABAH,NABAWAN,PANGARAAN,4.734,116.22106,S110,Kampung Lotong,4.71429,116.4496,25.420848816311818,red,OPEN,listed coordinates,Kampung Lotong,25.420848816311818
F102,S088,SABAH,PENAMPANG,BUAYAN,5.9,116.3,S48,Pekan Babagon,5.90378,116.18576,12.642584424054006,red,OPEN,listed coordinates,Pekan Babagon,12.642584424054006
F103,S089,SABAH,PENAMPANG,KALANGGAAN,5.95,116.28,S48,Pekan Babagon,5.90378,116.18576,11.621228707679675,red,OPEN,listed coordinates,Pekan Babagon,11.621228707679675
F104,S090,SABAH,PENAMPANG,LONGKOGUNGON,5.7875788,116.2886155,S63,Kg. Toboh,5.70326,116.39063,14.67283329725111,red,OPEN,listed coordinates,Kg. Toboh,14.67283329725111
F105,S091,SABAH,PENSIANGAN,KARAMPALON,4.52575,116.24919,S110,Kampung Lotong,4.71429,116.4496,30.543430901134222,red,OPEN,listed coordinates,Kampung Lotong,30.543430901134222
F106,S092,SABAH,RANAU,PANULONGON,5.93,116.53,S33,Kampung Mesilou,6.01308,116.59725,11.859831813540975,red,OPEN,listed coordinates,Kampung Mesilou,11.859831813540975
F107,S093,SABAH,PENSIANGAN,SALILIRAN,4.4043414,116.2214242,S110,Kampung Lotong,4.71429,116.4496,42.749161082858244,red,OPEN,listed coordinates,Kampung Lotong,42.749161082858244
F108,S094,SABAH,PENSIANGAN,KABU,4.359619,116.144915,S110,Kampung Lotong,4.71429,116.4496,51.92267095921307,red,OPEN,listed coordinates,Kampung Lotong,51.92267095921307
F109,S095,SABAH,NABAWAN,POHON BATU,4.7903,116.18864,S110,Kampung Lotong,4.71429,116.4496,30.12755381334944,red,OPEN,listed coordinates,Kampung Lotong,30.12755381334944
F110,S096,SABAH,NABAWAN,BINANON,4.82797,116.22329,S110,Kampung Lotong,4.71429,116.4496,28.08309647570561,red,OPEN,listed coordinates,Kampung Lotong,28.08309647570561
F111,S097,SABAH,NABAWAN,NANGKAWANGAN,4.8503231,116.2437013,S110,Kampung Lotong,4.71429,116.4496,27.374010331047092,red,OPEN,listed coordinates,Kampung Lotong,27.374010331047092
F112,S098,SABAH,NABAWAN,BANTUL,4.34677,116.43053,S110,Kampung Lotong,4.71429,116.4496,40.92105797336454,red,OPEN,listed coordinates,Kampung Lotong,40.92105797336454
F113,S099,SABAH,KOTA MARUDU,SONSOGON MUGIS,6.2732,116.793,S26,Kampung Desa Aman,6.11293,116.86051,19.320778113937447,red,UNDER RELOCATION,listed coordinates,Kampung Ranau,26.365706259446046
