candidate_id,candidate_name,candidate_type,source,source_url,public_ownership_evidence,coordinate_basis,name_key,duplicate_of,country_boundary_flag,distance_to_fds_km,rank_by_distance,label,elevation_m,slope_deg,nearest_mapped_road_km,nearest_track_km,nearest_waterway_km,nearest_mapped_road_name,nearest_road_surface,nearest_road_access_tag,straightline_waterway_intersections,within_fds_5km,site_id,fds_name,state,longitude,latitude,feasibility
K0395,Klinik Kesihatan Nanga Ibau,Klinik Kesihatan,Supplied health-facility register,data/kk_list.xlsx#Sheet1!row=2477,health-facility register; confirm property and operating status,supplied register coordinates,NANGAIBAU,NA,within Malaysia or boundary tolerance,6.714298220971535,1,C01,18.7451114654541,2.2839338779449463,0.6430043457353859,1.0927041379420954,0.21695634250506263,,,,0,FALSE,S031,"RH. LIUN, IBAU",SARAWAK,112.705028,2.0112440000000005,Candidate for field review; conversion suitability unverified
OSM_node/6975528494,SEKOLAH KEBANGSAAN ULU MELIPIS,school,OpenStreetMap / Geofabrik,https://www.openstreetmap.org/node/6975528494,public/government OSM tag,OSM point or point on mapped facility footprint,ULUMELIPIS,NA,within Malaysia or boundary tolerance,8.278197589720001,2,C02,16.030149459838867,1.9517735242843628,0.026389884878518184,0.17637081975990337,1.8076321372552944,,,,0,FALSE,S031,"RH. LIUN, IBAU",SARAWAK,112.65502479999999,2.0270412000000007,Candidate for field review; conversion suitability unverified
OSM_node/6975528494,SEKOLAH KEBANGSAAN ULU MELIPIS,school,OpenStreetMap / Geofabrik,https://www.openstreetmap.org/node/6975528494,public/government OSM tag,OSM point or point on mapped facility footprint,ULUMELIPIS,NA,within Malaysia or boundary tolerance,4.7356749076119264,1,C01,16.58724021911621,2.558349847793579,0.026389884878518184,0.17637081975990337,1.8076321372552944,,,,0,TRUE,S032,"RH. MESSOP, IBAU",SARAWAK,112.65502479999999,2.0270412000000007,Candidate for field review; conversion suitability unverified
K0395,Klinik Kesihatan Nanga Ibau,Klinik Kesihatan,Supplied health-facility register,data/kk_list.xlsx#Sheet1!row=2477,health-facility register; confirm property and operating status,supplied register coordinates,NANGAIBAU,NA,within Malaysia or boundary tolerance,4.891696620059075,2,C02,18.999027252197266,2.854914426803589,0.6430043457353859,1.0927041379420954,0.21695634250506263,,,,0,TRUE,S032,"RH. MESSOP, IBAU",SARAWAK,112.705028,2.0112440000000005,Candidate for field review; conversion suitability unverified
OSM_node/6975508243,Sekolah Kebangsaan Nanga Beguang,school,OpenStreetMap / Geofabrik,https://www.openstreetmap.org/node/6975508243,ownership not recorded; verify,OSM point or point on mapped facility footprint,NANGABEGUANG,NA,within Malaysia or boundary tolerance,5.572065092902358,1,C01,12.183526992797852,3.088024854660034,0.7901696724826935,0.6930425233274802,0.3003184685804281,"Jalan Nanga Ngemah / Ng Temalat, Kanowit",asphalt,,0,FALSE,S034,"RH. SARI, SG IRAN SONG",SARAWAK,112.42824159999999,2.0352665,Candidate for field review; conversion suitability unverified
OSM_way/697399610,Unnamed school,school,OpenStreetMap / Geofabrik,https://www.openstreetmap.org/way/697399610,ownership not recorded; verify,OSM point or point on mapped facility footprint,UNNAMEDSCHOOL,NA,within Malaysia or boundary tolerance,5.577967054185643,2,C02,11.2250337600708,0.43848973512649536,0.7823075907344057,0.6852579875926743,0.29355672277625255,"Jalan Nanga Ngemah / Ng Temalat, Kanowit",asphalt,,0,FALSE,S034,"RH. SARI, SG IRAN SONG",SARAWAK,112.42828990852604,2.0352037835361774,Candidate for field review; conversion suitability unverified
OSM_way/745180369,Unnamed school,school,OpenStreetMap / Geofabrik,https://www.openstreetmap.org/way/745180369,ownership not recorded; verify,OSM point or point on mapped facility footprint,UNNAMEDSCHOOL,NA,within Malaysia or boundary tolerance,5.5898267969026705,3,C03,36.07390213012695,6.863855361938477,0.19545490178682326,1.952695265552703,4.907622580092733,,,,0,FALSE,S034,"RH. SARI, SG IRAN SONG",SARAWAK,112.48739478449038,2.080791961754493,Candidate for field review; conversion suitability unverified
OSM_node/6975508242,SEKOLAH KEBANGSAAN NANGA DALAI,school,OpenStreetMap / Geofabrik,https://www.openstreetmap.org/node/6975508242,public/government OSM tag,OSM point or point on mapped facility footprint,NANGADALAI,NA,within Malaysia or boundary tolerance,5.608418690142561,4,C04,36.07390213012695,6.863855361938477,0.21402066327109073,1.9649389376509803,4.915407267362188,,,,0,FALSE,S034,"RH. SARI, SG IRAN SONG",SARAWAK,112.4875616,2.080779099999999,Candidate for field review; conversion suitability unverified
OSM_way/697399612,Unnamed school,school,OpenStreetMap / Geofabrik,https://www.openstreetmap.org/way/697399612,ownership not recorded; verify,OSM point or point on mapped facility footprint,UNNAMEDSCHOOL,NA,within Malaysia or boundary tolerance,7.5681780157527845,5,C05,11.60067081451416,2.5377438068389893,0.8097150997309331,1.193555163930538,0.3003792797563278,,,,0,FALSE,S034,"RH. SARI, SG IRAN SONG",SARAWAK,112.39615123715139,2.030279450717822,Candidate for field review; conversion suitability unverified
K0412,Klinik Kesihatan Nanga Tada,Klinik Kesihatan,Supplied health-facility register,data/kk_list.xlsx#Sheet1!row=2494,health-facility register; confirm property and operating status,supplied register coordinates,NANGATADA,NA,within Malaysia or boundary tolerance,8.636898525072407,6,C06,16.63102149963379,2.660374402999878,0.009094570209029719,5.96687084004003,0.10076092591331579,,,,1,FALSE,S034,"RH. SARI, SG IRAN SONG",SARAWAK,112.359515,2.085595,Candidate for field review; conversion suitability unverified
