NEGERI,DAERAH,PARLIMEN,DUN,LOKASI PERKHIDMATAN KLINIK BERGERAK,ORI_LATITUDE,ORI_LONGITUDE,LATITUDE,LONGITUDE,SASARAN JUMLAH LAWATAN DALAM SETAHUN,PERKHIDMATAN - JPL (YA/TIDAK),PERKHIDMATAN - MCH (YA/TIDAK),PASUKAN YANG MENJALANKAN PERKHIDMATAN KLINIK BERGERAK,MOD PERKHIDMATAN KLINIK BERGERAK (DARAT/ AIR/ UDARA),JARAK LOKASI KLINIK BERGERAK DENGAN LOKASI PASUKAN KLINIK BERGERAK - KM,JARAK LOKASI KLINIK BERGERAK DENGAN LOKASI PASUKAN KLINIK BERGERAK - JAM,JARAK LOKASI KLINIK BERGERAK DENGAN LOKASI PASUKAN KLINIK BERGERAK - MINIT,JARAK LOKASI KLINIK BERGERAK DENGAN KLINIK KESIHATAN BERDEKATAN - NAMA FASILITI,JARAK LOKASI KLINIK BERGERAK DENGAN KLINIK KESIHATAN BERDEKATAN - JARAK (KM),JARAK LOKASI KLINIK BERGERAK DENGAN KLINIK KESIHATAN BERDEKATAN - JARAK (JAM),JARAK LOKASI KLINIK BERGERAK DENGAN KLINIK KESIHATAN BERDEKATAN - JARAK (MINIT),KENDERAAN DARAT - 4WD,KENDERAAN DARAT - VAN,KENDERAAN DARAT - BUS,KENDERAAN AIR - BOT,KENDERAAN AIR - PERAHU PANJANG,KENDERAAN AIR - ENJIN BOT,KK RUJUKAN DIPADANKAN,JARAK GARIS LURUS FDS-KK (KM),NADI TERDEKAT,STATUS NADI,JARAK GARIS LURUS FDS-NADI (KM)
SARAWAK,SIBU,P.210 KANOWIT,N.43 NGEMAH,"RH. ENGKAYAU, ULU MACHAN",N 01 55 44.0,E 112 04 18.5,1.92888888888889,112.071805555556,12,Ya,Tidak,FDS PKB SIBU,Udara,37,0,40,KK MACHAN,37,0,40,TIADA,TIADA,TIADA,TIADA,TIADA,TIADA,Klinik Kesihatan Machan,11.16,Machan,OPEN,11.39
SARAWAK,SIBU,,,( + RH MANILLA ),N 01 55 44.0,E 112 04 18.5,1.92888888888889,112.071805555556,12,Ya,Tidak,FDS PKB SIBU,Udara,37,0,40,KK MACHAN,37,0,40,TIADA,TIADA,TIADA,TIADA,TIADA,TIADA,Klinik Kesihatan Machan,11.16,Machan,OPEN,11.39
SARAWAK,SIBU,,,( + RH UBONG ),N 01 55 44.0,E 112 04 18.5,1.92888888888889,112.071805555556,12,Ya,Tidak,FDS PKB SIBU,Udara,37,0,40,KK MACHAN,37,0,40,TIADA,TIADA,TIADA,TIADA,TIADA,TIADA,Klinik Kesihatan Machan,11.16,Machan,OPEN,11.39
SARAWAK,SIBU,P.210 KANOWIT,N.43 NGEMAH,RH. JANTING,N 01 53 50.1,E 112 10 28.8,1.89725,112.174666666667,12,Ya,Tidak,FDS PKB SIBU,Udara,43,0,35,PKD KANOWIT,43,0,35,TIADA,TIADA,TIADA,TIADA,TIADA,TIADA,PKD KANOWIT,,Rumah Benjamin,OPEN,19.10
SARAWAK,SIBU,,,( + RH TIGONG ),N 01 53 50.1,E 112 10 28.8,1.89725,112.174666666667,12,Ya,Tidak,FDS PKB SIBU,Udara,43,0,35,PKD KANOWIT,43,0,35,TIADA,TIADA,TIADA,TIADA,TIADA,TIADA,PKD KANOWIT,,Rumah Benjamin,OPEN,19.10
SARAWAK,SIBU,,,( + RH ANTAS ),N 01 53 50.1,E 112 10 28.8,1.89725,112.174666666667,12,Ya,Tidak,FDS PKB SIBU,Udara,43,0,35,PKD KANOWIT,43,0,35,TIADA,TIADA,TIADA,TIADA,TIADA,TIADA,PKD KANOWIT,,Rumah Benjamin,OPEN,19.10
SARAWAK,SIBU,P.210 KANOWIT,N.43 NGEMAH,RH. UNJAU POI,N 01 54 07.5,E 112 13 37.6,1.90208333333333,112.227111111111,12,Ya,Tidak,FDS PKB SIBU,Udara,47,0,40,KK MENALUN,47,0,40,TIADA,TIADA,TIADA,TIADA,TIADA,TIADA,Klinik Kesihatan Nanga Poi (Menalun),15.05,Rumah Benjamin,OPEN,20.28
SARAWAK,SIBU,P.210 KANOWIT,N.43 NGEMAH,"RH. JARAU, JAGAU",N 01 50 36.9,E 112 17 05.3,1.84358333333333,112.284805555556,12,Ya,Tidak,FDS PKB SIBU,Udara,55,0,50,KK NANGA JAGAU,55,0,50,TIADA,TIADA,TIADA,TIADA,TIADA,TIADA,Klinik Kesihatan Nanga Jagau,2.95,Nanga Ngungun,OPEN,20.63
SARAWAK,SIBU,,,( + RH SALANG ),N 01 50 36.9,E 112 17 05.3,1.84358333333333,112.284805555556,12,Ya,Tidak,FDS PKB SIBU,Udara,55,0,50,KK NANGA JAGAU,55,0,50,TIADA,TIADA,TIADA,TIADA,TIADA,TIADA,Klinik Kesihatan Nanga Jagau,2.95,Nanga Ngungun,OPEN,20.63
SARAWAK,SIBU,,,( + RH MANGGAL ),N 01 50 36.9,E 112 17 05.3,1.84358333333333,112.284805555556,12,Ya,Tidak,FDS PKB SIBU,Udara,55,0,50,KK NANGA JAGAU,55,0,50,TIADA,TIADA,TIADA,TIADA,TIADA,TIADA,Klinik Kesihatan Nanga Jagau,2.95,Nanga Ngungun,OPEN,20.63
SARAWAK,KAPIT,P 215 KAPIT,N 63 BUKIT GORAM,"RH. NUGA, SG. SEMUNJAN",2.054018,112.813026,2.054018,112.813026,12,Ya,Ya,FDS (P) PKB KAPIT,Udara,0,0,15,KK KAPIT,0,0,15,TIADA,TIADA,TIADA,TIADA,TIADA,TIADA,Klinik Kesihatan Kapit,13.72,Pekan Kapit,OPEN,14.50
